1000,1,0.000081
10000,1,0.000810
100000,1,0.008364
1000000,1,0.093900
10000000,1,1.031734
1000,2,0.000196
10000,2,0.001936
100000,2,0.016276
1000000,2,0.161347
10000000,2,1.856336
1000,3,0.000262
10000,3,0.002598
100000,3,0.024396
1000000,3,0.272179
10000000,3,2.664698
1000,4,0.000339
10000,4,0.003212
100000,4,0.031591
1000000,4,0.331281
10000000,4,3.471841
1000,5,0.000433
10000,5,0.004044
100000,5,0.040205
1000000,5,0.407973
10000000,5,4.282655
1000,6,0.000524
10000,6,0.005092
100000,6,0.048409
1000000,6,0.492088
10000000,6,5.163001
1000,7,0.000652
10000,7,0.005872
100000,7,0.057643
1000000,7,0.599987
10000000,7,6.051753
1000,8,0.000697
10000,8,0.006780
100000,8,0.069009
1000000,8,0.691703
10000000,8,7.214719
1000,9,0.000799
10000,9,0.007240
100000,9,0.071114
1000000,9,0.728181
10000000,9,7.859438
